Пропущенные значения, которые есть в отчете, но нет в РД (J, E):

       Коды работ по выпуску РД|
204  | 02UYX.E.B00.D-1110      |
205  | 02UYX.J.C00.D-1260      |
206  | 02UYX.J.C00.D-1270      |
207  | 20UQA.E.B00.D-1070      |
208  | 20UQA.E.B00.D-1180      |
209  | 20UQA.E.B00.D-1200      |
210  | 20UQA.E.B00.D-1190      |
211  | 20UQA.E.B00.D-1000      |
212  | 20UQA.E.B00.D-1210      |
213  | 20UQA.E.B00.D-1110      |
214  | 20UQA.E.B00.D-1100      |
215  | 20UQA.E.B00.D-1150      |
216  | 20UQA.E.BAU.D-1020      |
217  | 20UQA.E.BAU.D-1010      |
218  | 20UQA.E.B00.D-1020      |
219  | 20UQA.E.B00.D-1160      |
220  | 20UQA.E.B00.D-1140      |
221  | 20UQA.E.B00.D-1010      |
222  | 20UQA.E.B00.D-1080      |
223  | 20UQA.E.B00.D-1090      |
224  | 20UQA.E.B00.D-1030      |
225  | 20UQA.E.B00.D-1220      |
226  | 20UQA.E.BA1.D-1010      |
227  | 20UQA.E.BA1.D-1020      |
228  | 20UQA.E.B00.D-1050      |
229  | 20UQA.J.C00.D-1100      |
230  | 20UQA.J.C00.D-1270      |
231  | 20UQA.J.C00.D-1090      |
232  | 20UQA.J.C00.D-1200      |
233  | 20UQA.J.C00.D-1190      |
234  | 20UQA.J.C00.D-1210      |
235  | 20UQA.J.C00.D-1280      |
236  | 20UQA.J.C00.D-1120      |
237  | 20UQA.J.C00.D-1130      |
238  | 20UQA.J.C00.D-1110      |
239  | 20UQA.J.B00.D-1000      |
240  | 20UQA.J.C00.D-1290      |
241  | 20UQA.J.C00.D-1300      |
242  | 20UQA.J.C00.D-1060      |
243  | 20UQA.J.C00.D-1070      |
244  | 20UQA.J.C00.D-1140      |
245  | 20UQA.J.C00.D-1080      |
246  | 20UQA.J.CYE.D-1060      |
247  | 20UQA.J.CYE.D-1080      |
248  | 20UQA.J.CYE.D-1070      |
249  | 20UQA.J.CYE.D-1310      |
250  | 20UQA.J.CYE.D-1100      |
251  | 20UQA.J.CYE.D-1010      |
252  | 20UQA.J.CYE.D-1110      |
253  | 20UQA.J.CYE.D-1030      |
254  | 20UQA.J.CYE.D-1020      |
255  | 20UQA.J.CYE.D-1000      |
256  | 20UQA.J.CYE.D-1090      |
257  | 20UQA.J.C00.D-1020      |
258  | 20UQA.J.C00.D-1010      |
259  | 20UQA.J.CYB.D-1020      |
260  | 20UQA.J.CYC.D-1010      |
261  | 20UQA.J.CYC.D-1000      |
262  | 21UQZ.E.B00.D-1100      |
263  | 21UQZ.E.000.D-1020      |
264  | 21UQZ.E.000.D-1030      |
265  | 21UQZ.J.BA0.D-1050      |
266  | 21UQZ.J.BA0.D-1060      |
267  | 21UQZ.J.BA0.D-1070      |
268  | 21UUP.J.000.D-1000      |
269  | 21UQZ.J.CYE.D-1010      |
270  | 21UQZ.J.CYE.D-1000      |
271  | 21UQZ.J.CY0.D-1020      |
272  | 21UQZ.J.CYE.D-1020      |
273  | 21UQZ.J.CY0.D-1040      |
274  | 21UQZ.J.CY0.D-1030      |
275  | 21UQZ.J.CY0.D-1010      |
276  | 21UQZ.J.JJJ.D-1010      |
277  | 21UQZ.J.JJJ.D-1000      |
278  | 21UQZ.J.CYC.D-1060      |
279  | 21UQZ.J.CYC.D-1050      |
280  | 21UQZ.J.C00.D-1010      |
281  | 22UQZ.E.B00.D-1130      |
282  | 22UQZ.E.000.D-1020      |
283  | 22UQZ.E.000.D-1030      |
284  | 22UQZ.E.000.D-1040      |
285  | 22UQZ.E.B00.D-1100      |
286  | 22UQZ.J.BA0.D-1050      |
287  | 22UQZ.J.BA0.D-1060      |
288  | 22UQZ.J.BA0.D-1070      |
289  | 21UUQ.E.000.D-1000      |
290  | 22UQZ.J.CYE.D-1010      |
291  | 22UQZ.J.CYE.D-1000      |
292  | 22UQZ.J.CY0.D-1050      |
293  | 22UQZ.J.CYE.D-1020      |
294  | 22UQZ.J.CYC.D-1020      |
295  | 22UQZ.J.CYC.D-1010      |
296  | 22UQZ.J.CY0.D-1040      |
297  | 22UQZ.J.CYA.D-1000      |
298  | 22UQZ.J.CYA.D-1010      |
299  | 22UQZ.J.CYC.D-1040      |
300  | 22UQZ.J.CYC.D-1030      |
301  | 22UQZ.J.C00.D-1010      |
302  | 23UPZ.E.B00.D-1000      |
303  | 23UPZ.E.B00.D-1020      |
304  | 24UPZ.E.B00.D-1000      |
305  | 24UPZ.E.B00.D-1020      |
306  | 21UQC.E.B00.D-1110      |
307  | 21UQC.E.B00.D-1150      |
308  | 21UQC.E.B00.D-1100      |
309  | 21UQC.E.B00.D-1120      |
310  | 21UQC.E.CA1.D-1010      |
311  | 21UQC.E.CA1.D-1100      |
312  | 21UQC.E.B00.D-1160      |
313  | 21UQC.E.CA1.D-1000      |
314  | 21UQC.E.BA1.D-1000      |
315  | 21UQC.E.B00.D-1040      |
316  | 21UQC.E.BJ0.D-1000      |
317  | 21UQC.E.B00.D-1190      |
318  | 21UQC.E.BAU.D-1000      |
319  | 21UQC.E.B00.D-1020      |
320  | 21UQC.E.BA1.D-1020      |
321  | 21UQC.E.B00.D-1000      |
322  | 21UQC.J.C00.D-1040      |
323  | 21UQC.J.C00.D-1180      |
324  | 21UQC.J.C00.D-1250      |
325  | 21UQC.J.C00.D-1190      |
326  | 21UQC.E.B00.D-1070      |
327  | 21UQC.J.CYE.D-1040      |
328  | 21UQC.J.C00.D-1050      |
329  | 21UQC.J.JJJ.D-1050      |
330  | 21UQC.J.C00.D-1200      |
331  | 21UQC.E.B00.D-1060      |
332  | 21UQC.J.CYE.D-1210      |
333  | 21UQC.J.CYE.D-1220      |
334  | 21UQC.J.C00.D-1260      |
335  | 21UQC.J.C00.D-1150      |
336  | 21UQC.J.C00.D-1280      |
337  | 21UQC.J.C00.D-1290      |
338  | 21UQC.J.CYE.D-1260      |
339  | 21UQC.J.CYE.D-1250      |
340  | 21UQC.J.CA1.D-1000      |
341  | 21UQC.J.CYE.D-1270      |
342  | 21UQC.J.CYE.D-1010      |
343  | 21UQC.J.CYE.D-1000      |
344  | 21UQC.J.CYE.D-1020      |
345  | 2&UQC.J.CY0.D-1040      |
346  | 2&UQC.J.CY0.D-1030      |
347  | 21UQC.J.CYB.D-1000      |
348  | 2&UQC.J.CY0.D-1010      |
349  | 2&UQC.J.CY0.D-1000      |
350  | 21UQC.J.C00.D-1010      |
351  | 21UQC.J.C00.D-1270      |
352  | 21UQC.J.C00.D-1030      |
353  | 21UQC.J.C00.D-1020      |
354  | 21UQC.J.C00.D-1000      |
355  | 22UQC.E.B00.D-1040      |
356  | 22UQC.E.B00.D-1060      |
357  | 22UQC.E.B00.D-1170      |
358  | 22UQC.E.B00.D-1050      |
359  | 22UQC.E.B00.D-1070      |
360  | 22UQC.E.CA1.D-1020      |
361  | 22UQC.E.CA1.D-1010      |
362  | 22UQC.E.B00.D-1160      |
363  | 22UQC.E.CA1.D-1000      |
364  | 22UQC.E.BA1.D-1000      |
365  | 22UQC.E.B00.D-1140      |
366  | 22UQC.E.B00.D-1110      |
367  | 22UQC.E.B00.D-1130      |
368  | 22UQC.E.B00.D-1030      |
369  | 22UQC.E.B00.D-2000      |
370  | 22UQC.E.BAU.D-1000      |
371  | 22UQC.E.B00.D-1020      |
372  | 22UQC.E.B00.D-1010      |
373  | 22UQC.J.C00.D-1240      |
374  | 22UQC.J.C00.D-1300      |
375  | 22UQC.J.C00.D-1250      |
376  | 22UQC.J.CYE.D-1210      |
377  | 22UQC.J.C00.D-1040      |
378  | 22UQC.J.JJJ.D-1120      |
379  | 22UQC.J.C00.D-1260      |
380  | 22UQC.J.CYE.D-1270      |
381  | 22UQC.J.CYE.D-1280      |
382  | 22UQC.J.C00.D-1310      |
383  | 22UQC.J.C00.D-1030      |
384  | 22UQC.J.C00.D-1330      |
385  | 22UQC.J.C00.D-1340      |
386  | 22UQC.J.CA0.D-1210      |
387  | 22UQC.J.CYE.D-1300      |
388  | 22UQC.J.CYE.D-1290      |
389  | 22UQC.J.CYE.D-1000      |
390  | 22UQC.J.CYE.D-1310      |
391  | 22UQC.J.CYE.D-1200      |
392  | 22UQC.J.CYE.D-1180      |
393  | 22UQC.J.CYE.D-1030      |
394  | 22UQC.J.CY0.D-1010      |
395  | 22UQC.J.CY0.D-1000      |
396  | 22UQC.J.CYB.D-1150      |
397  | 22UQC.J.CYC.D-1190      |
398  | 22UQC.J.CYC.D-1170      |
399  | 22UQC.J.C00.D-1100      |
400  | 22UQC.J.C00.D-1320      |
401  | 22UQC.J.C00.D-1120      |
402  | 22UQC.J.C00.D-1110      |
403  | 22UQC.J.C00.D-1090      |
404  | 21UQX.E.EEE.D-1010      |
405  | 21UQX.E.EEE.D-1020      |
406  | 20UAZ.E.BAU.D-1000      |
407  | 20UAZ.E.BJ0.D-1000      |
408  | 20UAZ.E.B00.D-1010      |
409  | 20UAZ.E.BA0.D-1000      |
410  | 20UAZ.J.CY0.D-1000      |
411  | 20UAZ.J.JJJ.D-1010      |
412  | 20UAZ.J.JJJ.D-1000      |
413  | 20UAZ.J.JJJ.D-1020      |
414  | 2&UUA.J.JJJ.D-1000      |
415  | 2&UUA.E.EEE.D-1000      |
416  | 2&UUA.J.JJJ.D-1010      |
417  | 20UBA.E.B00.D-1940      |
418  | 20UBA.E.B00.D-1600      |
419  | 20UBA.E.B00.D-1050      |
420  | 20UBA.E.B00.D-1330      |
421  | 20UBA.E.B00.D-1340      |
422  | 20UBA.E.B00.D-1350      |
423  | 20UBA.E.B00.D-1360      |
424  | 20UBA.E.B00.D-1370      |
425  | 20UBA.E.B00.D-1380      |
426  | 20UBA.E.B00.D-1390      |
427  | 20UBA.E.B00.D-1400      |
428  | 20UBA.E.B00.D-1410      |
429  | 20UBA.E.B00.D-1420      |
430  | 20UBA.E.B00.D-1430      |
431  | 20UBA.E.B00.D-1440      |
432  | 20UBA.E.B00.D-1450      |
433  | 20UBA.E.B00.D-1460      |
434  | 20UBA.E.B00.D-1470      |
