Итоговые значения:

       Система     |Наименование                                                                                    |Шифр                                                            |Тип                      |Статус|Ревизия                                   |Срок                                     |
1011 | СКНП        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-18 на 18.07.2023    |
1012 | СКНП        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-18 на 18.07.2023    |
1013 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1014 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1015 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1016 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1017 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1018 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-18 на 18.07.2023    |
1019 | ДСЗ         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-19 на 18.06.2023    |
1020 | ДСЗ         |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-19 на 18.06.2023    |
1021 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-19 на 18.06.2023    |
1022 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1023 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1024 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1025 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1026 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1027 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1028 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-24 на 23.06.2023    |
1029 | КЭ СУЗ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1030 | КЭ СУЗ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-23 на 21.06.2023    |
1031 | КЭ СУЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-23 на 21.06.2023    |
1032 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1033 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-15 на 20.10.2024    |
1034 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-15 на 20.10.2024    |
1035 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-15 на 20.10.2024    |
1036 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1037 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1038 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 20.10.2024    |
1039 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1040 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1041 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1042 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1043 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1044 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 05.06.2023    |
1045 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1046 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1047 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1048 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1049 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1050 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1051 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1052 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1053 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1054 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1055 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1056 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1057 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1058 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1059 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1060 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1061 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-26 на 30.07.2023    |
1062 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1063 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1064 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1065 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1066 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1067 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1068 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-15 на 20.10.2024    |
1069 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 20.10.2024    |
1070 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 20.10.2024    |
1071 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 20.10.2024    |
1072 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1073 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1074 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 21.06.2023    |
1075 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1076 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-15 на 05.06.2023    |
1077 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-06-07 на 05.07.2023    |
1078 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1079 | АЗ-УСБТ, ПЗ |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-07-05 на 04.08.2023    |
1080 | СВБУ        |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
1081 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1082 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1083 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1084 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1085 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1086 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1087 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1088 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1089 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1090 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1091 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1092 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1093 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-26 на 30.07.2023    |
1094 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1095 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1096 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1097 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1098 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1099 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1100 | СКУД        |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1101 | СКУД        |-                                                                                               |-                                                               |Перечень                 |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 21.06.2023    |
1102 | СКУД        |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-30 на 30.12.2023    |
1103 | СОТТ-2      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1104 | СОТТ-2      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1105 | СОТТ-2      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1106 | СОТТ-2      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2024-12-30 на 30.12.2024    |
1107 | СОТТ-2      |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |Смена срок c 2023-12-30 на 30.12.2023    |
1108 | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1109 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1110 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 30.08.2023    |
1111 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1112 | СКУ НЭ      |-                                                                                               |-                                                               |Принципиальная схема     |-     |Смена ревизия c  на None                  |-                                        |
1113 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-21 на 20.10.2024    |
1114 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-05-30 на 30.07.2023    |
1115 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2027-08-30 на 30.07.2023    |
1116 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 30.07.2023    |
1117 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-29 на 20.10.2024    |
1118 | СВСУ        |-                                                                                               |Смена шифра c 10UQR.J.C00.D-1400 на AKU.0179.10UQR.0.AT.MA0001  |Схема подключений        |-     |Смена ревизия c  на C01 (есть только в 1С)|Смена срок c 2023-09-21 на 08.10.2024    |
1119 | СВСУ        |-                                                                                               |Смена шифра c 10UQR.J.C00.D-1430 на AKU.0179.10UQR.0.AT.MB0001  |КЖ                       |-     |Смена ревизия c  на C01 (есть только в 1С)|Смена срок c 2023-09-21 на 05.11.2024    |
1120 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1121 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |-                                        |
1122 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1123 | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1124 | СКУ ПЗ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1125 | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1126 | СКУ ПЗ      |-                                                                                               |-                                                               |Не определено            |-     |Смена ревизия c  на None                  |-                                        |
1127 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1128 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-09-29 на 29.09.2023    |
1129 | СКУ НЭ      |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-21 на 20.10.2024    |
1130 | СКУ НЭ      |-                                                                                               |-                                                               |Принципиальная схема     |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 19.06.2023    |
1131 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2024-10-30 на 30.10.2024    |
1132 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-25 на 21.06.2023    |
1133 | СКУ НЭ      |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |Смена срок c 2023-04-30 на 29.09.2023    |
1134 | СКУ НЭ      |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-03 на 21.06.2023    |
1135 | СКУ ВХР     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-05-13 на 29.11.2023    |
1136 | СКУ ВХР     |-                                                                                               |-                                                               |КЖ                       |-     |Смена ревизия c  на None                  |Смена срок c 2023-10-01 на 01.10.2023    |
1137 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1138 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |ЗЗИ/ИДИ                  |-     |Смена ревизия c  на None                  |-                                        |
1139 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1140 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
1141 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1142 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема подключений        |-     |Смена ревизия c  на None                  |-                                        |
1143 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
1144 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Комплектация/спецификация|-     |Смена ревизия c  на None                  |-                                        |
1145 | СКУ ЭЧ ЭБ   |-                                                                                               |-                                                               |Схема электрическая      |-     |Смена ревизия c  на None                  |-                                        |
